ticker,year,hq_state,total_deposits_k,hq_state_deposits_k,locality,n_states,n_branches,n_certs,top_state,top_state_share
ONB,2011,IN,6043497.0,4647469.0,0.7690032774071038,4,174,1,IN,0.7690032774071038
ONB,2012,IN,6721395.0,5040430.0,0.749908315163742,4,188,1,IN,0.749908315163742
ONB,2013,IN,6876980.0,5420168.0,0.78816108233556,4,176,1,IN,0.78816108233556
ONB,2014,IN,7595705.0,5778882.0,0.7608091678125993,5,178,1,IN,0.7608091678125993
ONB,2015,IN,8882485.0,6126198.0,0.6896941565338979,5,190,1,IN,0.6896941565338979
ONB,2016,IN,10582231.0,6493734.0,0.6136450810797837,5,213,1,IN,0.6136450810797837
ONB,2017,IN,10797561.0,6829546.0,0.6325082118082037,5,194,1,IN,0.6325082118082037
ONB,2018,IN,12668679.0,7000070.0,0.5525493226247188,6,189,1,IN,0.5525493226247188
ONB,2019,IN,14411560.0,7404845.0,0.5138128696685161,6,198,1,IN,0.5138128696685161
ONB,2020,IN,16371937.0,8433940.0,0.515146130845727,6,166,1,IN,0.515146130845727
ONB,2021,IN,17968495.0,9352101.0,0.5204721374828554,6,166,1,IN,0.5204721374828554
ONB,2022,IN,36067334.0,11849513.0,0.3285386438598428,7,272,1,IL,0.40262548931395925
ONB,2023,IN,36547037.0,11644625.0,0.31862022084033786,7,263,1,IL,0.4247294247136916
ONB,2024,IN,40443363.0,12460268.0,0.3080917875202416,9,288,1,IL,0.39942383129711545
ONB,2025,IN,54862635.0,13820604.0,0.25191287294166603,9,360,1,IL,0.32566467141069694
PB,2009,TX,7261503.0,7261503.0,1.0,1,163,1,TX,1.0
PB,2010,TX,7818032.0,7818032.0,1.0,1,185,1,TX,1.0
PB,2011,TX,7671470.0,7671470.0,1.0,1,180,1,TX,1.0
PB,2012,TX,8397724.0,8397724.0,1.0,1,184,1,TX,1.0
PB,2013,TX,12514366.0,11471995.0,0.9167060480730705,2,241,1,TX,0.9167060480730705
PB,2014,TX,17288420.0,14414647.0,0.833774688490909,2,284,1,TX,0.833774688490909
PB,2015,TX,17022609.0,14715955.0,0.8644946846867011,2,268,1,TX,0.8644946846867011
PB,2016,TX,17244034.0,15417377.0,0.8940702042225155,2,269,1,TX,0.8940702042225155
